result_id,status,endpoint,clinical_definition,task,analysis_set,evaluation_design,reporting_level,model_family,model_name,fusion_type,feature_model,cohort_source,external_result_path,summary_file,prediction_file,has_patient_ids,has_fold_ids,metrics_existing,metrics_missing,needs_early_prediction_filter,needs_patient_aggregation,needs_interpretability_regeneration,thesis_use,planned_table_or_figure,notes
lgd2_intermediate_fusion_uni2,FINAL_CANDIDATE,NextBiopsyProgression_LGD2plus,HGD/IMC/OAC or two consecutive LGD biopsies,binary progression,primary_lgd2,5-fold patient-disjoint CV,patient primary; biopsy/sample supplementary,multimodal,intermediate_abmil_cnv,intermediate_fusion,uni2+cnv_anchor,data/derived_nextbiopsy_lgd2_strict_nextbiopsy_CANONICAL_ONLY_20260319/derived_master.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/uni2,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/uni2/global_results_summary.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/uni2/runs/multimodal/all_samples/core_gpu/cv/predictions_all_samples_intermediate_abmil_cnv_windows_armdiff_plus_arms_plus_cx_NextBiopsyProgression_LGD2plus_k0_uniform_epca0_rep01_fold{1..5}.csv,yes,yes,"sample AUC/AUPRC/sens/spec/Brier","full patient clinical metrics",yes,yes,yes,Supplementary fusion/foundation comparison,Supplementary fusion table,Useful for foundation-model sensitivity.
lgd2_intermediate_fusion_virchow2,FINAL_CANDIDATE,NextBiopsyProgression_LGD2plus,HGD/IMC/OAC or two consecutive LGD biopsies,binary progression,primary_lgd2,5-fold patient-disjoint CV,patient primary; biopsy/sample supplementary,multimodal,intermediate_abmil_cnv,intermediate_fusion,virchow2+cnv_anchor,data/derived_nextbiopsy_lgd2_strict_nextbiopsy_CANONICAL_ONLY_20260319/derived_master.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/virchow2,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/virchow2/global_results_summary.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/virchow2/runs/multimodal/all_samples/core_gpu/cv/predictions_all_samples_intermediate_abmil_cnv_windows_armdiff_plus_arms_plus_cx_NextBiopsyProgression_LGD2plus_k0_uniform_epca0_rep01_fold{1..5}.csv,yes,yes,"sample AUC/AUPRC/sens/spec/Brier","full patient clinical metrics",yes,yes,yes,Supplementary fusion/foundation comparison,Supplementary fusion table,Useful for foundation-model sensitivity.
lgd2_coattention_gigapath,FINAL_CANDIDATE,NextBiopsyProgression_LGD2plus,HGD/IMC/OAC or two consecutive LGD biopsies,binary progression,primary_lgd2,5-fold patient-disjoint CV,patient primary; biopsy/sample supplementary,multimodal,coattn_abmil_cnv,coattention,gigapath+cnv_anchor,data/derived_nextbiopsy_lgd2_strict_nextbiopsy_CANONICAL_ONLY_20260319/derived_master.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/gigapath,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/gigapath/global_results_summary.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/gigapath/runs/multimodal/all_samples/core_gpu/cv/predictions_all_samples_coattn_abmil_cnv_windows_armdiff_plus_arms_plus_cx_NextBiopsyProgression_LGD2plus_k0_uniform_epca0_rep01_fold{1..5}.csv,yes,yes,"sample AUC/AUPRC/sens/spec/Brier","full patient clinical metrics",yes,yes,yes,Primary/supplementary fusion comparison,Main or supplementary model comparison table,Co-attention available in locked LGD2 campaign.
lgd2_coattention_uni2,FINAL_CANDIDATE,NextBiopsyProgression_LGD2plus,HGD/IMC/OAC or two consecutive LGD biopsies,binary progression,primary_lgd2,5-fold patient-disjoint CV,patient primary; biopsy/sample supplementary,multimodal,coattn_abmil_cnv,coattention,uni2+cnv_anchor,data/derived_nextbiopsy_lgd2_strict_nextbiopsy_CANONICAL_ONLY_20260319/derived_master.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/uni2,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/uni2/global_results_summary.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/uni2/runs/multimodal/all_samples/core_gpu/cv/predictions_all_samples_coattn_abmil_cnv_windows_armdiff_plus_arms_plus_cx_NextBiopsyProgression_LGD2plus_k0_uniform_epca0_rep01_fold{1..5}.csv,yes,yes,"sample AUC/AUPRC/sens/spec/Brier","full patient clinical metrics",yes,yes,yes,Primary/supplementary fusion comparison,Main or supplementary model comparison table,UNI2 co-attention also used in shuffle/ablation support.
lgd2_coattention_virchow2,FINAL_CANDIDATE,NextBiopsyProgression_LGD2plus,HGD/IMC/OAC or two consecutive LGD biopsies,binary progression,primary_lgd2,5-fold patient-disjoint CV,patient primary; biopsy/sample supplementary,multimodal,coattn_abmil_cnv,coattention,virchow2+cnv_anchor,data/derived_nextbiopsy_lgd2_strict_nextbiopsy_CANONICAL_ONLY_20260319/derived_master.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/virchow2,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/virchow2/global_results_summary.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/virchow2/runs/multimodal/all_samples/core_gpu/cv/predictions_all_samples_coattn_abmil_cnv_windows_armdiff_plus_arms_plus_cx_NextBiopsyProgression_LGD2plus_k0_uniform_epca0_rep01_fold{1..5}.csv,yes,yes,"sample AUC/AUPRC/sens/spec/Brier","full patient clinical metrics",yes,yes,yes,Primary/supplementary fusion comparison,Main or supplementary model comparison table,Virchow2 co-attention available.
lgd2_foundation_combo,REVIEW_MANUALLY,NextBiopsyProgression_LGD2plus,HGD/IMC/OAC or two consecutive LGD biopsies,binary progression,foundation_fusion,5-fold patient-disjoint CV,sample; patient pending,multimodal,foundation_combo,foundation_fusion,"gigapath+uni2+virchow2",data/derived_nextbiopsy_lgd2_strict_nextbiopsy_CANONICAL_ONLY_20260319/derived_master.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/foundation_combo,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/foundation_combo/cv_summary_foundation_combo_fusion.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/foundation_combo/cv_predictions_foundation_combo_fusion.csv,no,yes,"sample AUC/AUPRC/sens/spec","patient-level metrics; patient IDs need join to cohort",yes,yes,yes,Possible supplementary foundation-fusion,Supplementary foundation-fusion table,Prediction file lacks patient_id in audited header; join needed before patient metrics.
lgd2_clinical_augmentation,REVIEW_MANUALLY,NextBiopsyProgression_LGD2plus,HGD/IMC/OAC or two consecutive LGD biopsies,binary progression,clinical_augmentation,5-fold patient-disjoint CV,sample; patient pending,"CNV/image/multimodal + clinical",multiple,multiple,"cnv_anchor; gigapath; uni2; virchow2",data/derived_nextbiopsy_lgd2_strict_nextbiopsy_CANONICAL_ONLY_20260319/derived_master.csv,data/foundation_grid_runs/campaign_lgd2_clinical_augmentation_20260319_190949,data/foundation_grid_runs/campaign_lgd2_clinical_augmentation_20260319_190949/core_lvl2/*/global_results_summary.csv,REVIEW_MANUALLY,yes,yes,"sample AUC/AUPRC/sens/spec/Brier in multiple summaries","final patient clinical metrics; decide whether clinical covariates are thesis scope",yes,yes,no,Supplementary clinical augmentation if used,Supplementary clinical covariates table,Relevant but not primary unless explicitly included.
lgd2_patient_metrics_recompute,NEEDS_RECOMPUTE,NextBiopsyProgression_LGD2plus,HGD/IMC/OAC or two consecutive LGD biopsies,binary progression,metric_recompute,5-fold patient-disjoint CV,patient,all selected models,selected_final_models,NA,all,data/derived_nextbiopsy_lgd2_strict_nextbiopsy_CANONICAL_ONLY_20260319/derived_master.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/patient_aggregation,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/patient_aggregation/task2_patient_aggregation_metrics.csv,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/*/runs/*/all_samples/*/cv/predictions_all_samples_*NextBiopsyProgression_LGD2plus*_rep01_fold{1..5}.csv,yes,yes,"patient AUC/sensitivity/specificity/accuracy/FNR/FN/TP","patient AUPRC; Brier; calibration; PPV; NPV; FP; TN; fixed operating points; confidence intervals",yes,yes,no,Required recomputation,Main clinical detection table,Do this before thesis final tables.
lgd2_early_prediction_filter,NEEDS_RECOMPUTE,NextBiopsyProgression_LGD2plus,HGD/IMC/OAC or two consecutive LGD biopsies,binary progression,early_prediction_only,5-fold patient-disjoint CV,patient primary; biopsy/sample supplementary,all selected models,selected_final_models,NA,all,data/derived_nextbiopsy_lgd2_strict_nextbiopsy_CANONICAL_ONLY_20260319/derived_master.csv,MISSING,MISSING,data/foundation_grid_runs/campaign_lgd2_nextbiopsy_lgd2_refresh_cuda_20260319_142251/core_lvl2/*/runs/*/all_samples/*/cv/predictions_all_samples_*NextBiopsyProgression_LGD2plus*_rep01_fold{1..5}.csv,yes,yes,"saved predictions and master timing columns exist","filtered patient metrics excluding DaysFromCurrentToEvent == 0",yes,yes,no,Required sensitivity analysis,Early prediction table,No final filtered result file found.
lgd2_modality_ablation_shuffle,SUPPLEMENTARY,NextBiopsyProgression_LGD2plus,HGD/IMC/OAC or two consecutive LGD biopsies,binary progression,modality_ablation_shuffle,5-fold patient-disjoint CV,sample; patient AUC support,multimodal,"early_mean_mlp; early_mean_mlp_timev1; coattn_abmil_cnv","shuffle_image; shuffle_cnv; shuffle_both; modality_drop",uni2_signal+cnv_anchor,data/derived_nextbiopsy_lgd2_strict_nextbiopsy_CANONICAL_ONLY_20260319/derived_master.csv,data/foundation_grid_runs/campaign_lgd2_h200_patient_signal_lgd2_20260319/patchselect/uni2_signal,"data/foundation_grid_runs/campaign_lgd2_h200_patient_signal_lgd2_20260319/patchselect/uni2_signal/{baseline,shuffle_image,shuffle_cnv,shuffle_both}/cv/summary_metrics.csv","data/foundation_grid_runs/campaign_lgd2_h200_patient_signal_lgd2_20260319/patchselect/uni2_signal/{baseline,shuffle_image,shuffle_cnv,shuffle_both}/cv/predictions_all_samples_*NextBiopsyProgression_LGD2plus*_rep01_fold{1..5}.csv",yes,yes,"sample AUC/AUPRC/Brier; patient_auc in patient_level_eval","full patient clinical metrics for ablation/shuffle",yes,yes,no,Supplementary modality-dependence evidence,Supplementary ablation figure/table,Useful for whether multimodal gains survive shuffling.
lgd3_5fold_legacy,SUPPLEMENTARY,NextBiopsyProgression_LGD3plus,HGD/IMC/OAC or three-LGD-streak rule,binary progression,legacy_lgd3,5-fold patient-disjoint CV,patient primary; biopsy/sample supplementary,CNV/image/multimodal,multiple,multiple,"cnv_anchor; gigapath; uni2; virchow2",data/derived_nextbiopsy_lgd3plus_CANONICAL_20260304_154336/derived_master.csv,data/foundation_grid_runs/campaign_lgd3plus_CANONICAL_fullcoverage_20260304_195943,reports/biopsy_patient_aggregation_20260306_102801/summary.md,REVIEW_MANUALLY,yes,yes,"LGD3+ patient/biopsy/sample AUC/sens/spec","not primary; only align if used in supplement",no,no,no,Supplementary legacy endpoint,Supplementary LGD3+ comparison,Keep separate from primary LGD2+ claims.
lgd3_interpretability_support,SUPPLEMENTARY,NextBiopsyProgression_LGD3plus,HGD/IMC/OAC or three-LGD-streak rule,interpretability,legacy_interpretability,5-fold patient-disjoint CV/case selection,case,multimodal+CNP+histology,multiple,multiple,"gigapath; virchow2; uni2; cnv_anchor",data/derived_nextbiopsy_lgd3plus_CANONICAL_20260304_154336/derived_master.csv,"analysis/clinician_figures_nextbiopsyprogression_batch10; analysis/explainability; analysis/cnv_explainability",analysis/clinician_figures_nextbiopsyprogression_batch10/README.md,REVIEW_MANUALLY,yes,yes,"LGD3+ top patches; CNV windows/genes; modality dependence","LGD2+ regeneration if used as primary interpretation",no,no,yes,Interpretability support only,Supplementary/legacy interpretation figure,Do not present as primary LGD2+ interpretation.
killcoyne_cnv_reproduction,LEGACY,Progressor-like,Killcoyne-style progression,cnv_baseline,external_baseline,LOPO / paper-faithful variants,sample/patient,CNV-only,multiple,none,CNV,data/killcoyne_paperfaithful_fullsplit_20260427_145056,analysis/killcoyne_paperfaithful_fullsplit_20260427_145056/all_samples,analysis/killcoyne_paperfaithful_fullsplit_20260427_145056/all_samples/lopo_summary.csv,analysis/killcoyne_paperfaithful_fullsplit_20260427_145056/all_samples/lopo_predictions_all_samples.csv,yes,no,"LOPO AUC and predictions","not aligned to primary LGD2+ endpoint",no,no,no,Historical CNV baseline context,Supplementary baseline paragraph/table,Keep distinct from matched multimodal LGD2+ cohort.
fixed_lambda_cnv_lopo,LEGACY,Progressor-like,Killcoyne-style progression,cnv_baseline,external_baseline,LOPO,sample/patient,CNV-only,fixed_lambda,none,CNV,analysis/fixed_lambda_lopo_truepath_panels_20260428_1048,analysis/fixed_lambda_lopo_truepath_panels_20260428_1048,analysis/fixed_lambda_lopo_truepath_panels_20260428_1048/fixed_lambda_lopo_summary.csv,analysis/fixed_lambda_lopo_truepath_panels_20260428_1048/lopo_fixed_lambda_predictions_all_samples.csv,yes,no,"LOPO AUC","not aligned to primary LGD2+ endpoint",no,no,no,Historical CNV baseline context,Supplementary baseline paragraph/table,Useful for Killcoyne reproduction only.
survival_time_window,SUPPLEMENTARY,NextBiopsyProgression_LGD2plus,HGD/IMC/OAC or two consecutive LGD biopsies,survival/time-window,survival_supplement,patient-disjoint GroupKFold / OOF,patient-day,survival,"rsf_combined; coxnet_combined; coxnet_scores; coxnet_clinical",none,combined,data/derived_nextbiopsy_lgd2_strict_nextbiopsy_CANONICAL_ONLY_20260319/derived_master.csv,analysis/patientday_survival_strict_lgd2_nextbiopsy_20260319_v2,analysis/patientday_survival_strict_lgd2_nextbiopsy_20260319_v2/survival_summary.csv,REVIEW_MANUALLY,yes,yes,"c-index; time-dependent AUC","not primary binary patient-level detection table",no,no,no,Supplementary time-window analysis,Supplementary survival/time-window table,Keep out of primary model comparison.
old_50fold_and_smoke,EXPLORATORY,mixed,mixed,multiple,development_history,50-fold/smoke/various,mixed,mixed,multiple,multiple,multiple,mixed,data/virchow2_mil_runs; data/foundation_grid_runs/campaign_20260226_210057; other old folders,data/virchow2_mil_runs/global_results_summary.csv,REVIEW_MANUALLY,REVIEW_MANUALLY,REVIEW_MANUALLY,"historical model metrics","not aligned to locked LGD2+ primary analysis",yes,yes,yes,Do not use for primary thesis claims,Not planned,Retain only for archaeology if needed.
lgd2_histology_interpretability,MISSING,NextBiopsyProgression_LGD2plus,HGD/IMC/OAC or two consecutive LGD biopsies,interpretability,primary_lgd2_interpretability,5-fold patient-disjoint CV/case selection,case,histology-only/top patches,MISSING,attention/top_patch,"gigapath; uni2; virchow2",data/derived_nextbiopsy_lgd2_strict_nextbiopsy_CANONICAL_ONLY_20260319/derived_master.csv,MISSING,MISSING,MISSING,unknown,unknown,none,"LGD2+ attention maps; top patches; clinician-facing figures",no,no,yes,Missing primary interpretability,Interpretability figure,Existing top-patch outputs are LGD3+ support only.
